EXPORT,YEAR,VOLUME
Aceites crudos de petróleo o de mineral bituminoso.,2010,13393973
Hullas térmicas.,2010,5350130
"Los demás cafés sin tostar, sin descafeinar.",2010,1883557
"Oro(incluido el oro platinado), en las demás formas en bruto, para uso no monetario.",2010,1997240
Fueloils (fuel).,2010,1528495
Ferroníquel.,2010,967338
"Bananas o plátanos frescos del tipo ""cavendish valery"".",2010,694415
Gasoils (gasóleo).,2010,522892
"Coques y semicoques de hulla, incluso aglomerados.",2010,494008
"Rosas frescas, cortadas para ramos o adornos.",2010,375960
Polipropileno,2010,219932
Policloruro de vinilo,2010,64730
Aceite de palma en bruto,2010,47365
Esmeraldas,2010,108003
Aceites crudos de petróleo o de mineral bituminoso.,2011,23020133
Hullas térmicas.,2011,7566983
"Los demás cafés sin tostar, sin descafeinar.",2011,2608365
"Oro(incluido el oro platinado), en las demás formas en bruto, para uso no monetario.",2011,2591714
Fueloils (fuel).,2011,2406184
Ferroníquel.,2011,826621
"Bananas o plátanos frescos del tipo ""cavendish valery"".",2011,769779
Gasoils (gasóleo).,2011,736212
"Coques y semicoques de hulla, incluso aglomerados.",2011,540006
"Rosas frescas, cortadas para ramos o adornos.",2011,381228
Polipropileno,2011,266774
Policloruro de vinilo,2011,249035
Aceite de palma en bruto,2011,154949
Esmeraldas,2011,128435
Aceites crudos de petróleo o de mineral bituminoso.,2012,26495874
Hullas térmicas.,2012,7034314
"Los demás cafés sin tostar, sin descafeinar.",2012,1909997
"Oro(incluido el oro platinado), en las demás formas en bruto, para uso no monetario.",2012,3190547
Fueloils (fuel).,2012,2389241
Ferroníquel.,2012,881169
"Bananas o plátanos frescos del tipo ""cavendish valery"".",2012,763830
Gasoils (gasóleo).,2012,911160
"Coques y semicoques de hulla, incluso aglomerados.",2012,505813
"Rosas frescas, cortadas para ramos o adornos.",2012,363404
Polipropileno,2012,280319
Policloruro de vinilo,2012,229186
Aceite de palma en bruto,2012,144854
Esmeraldas,2012,116914
Aceites crudos de petróleo o de mineral bituminoso.,2013,27644198
Hullas térmicas.,2013,6079881
"Los demás cafés sin tostar, sin descafeinar.",2013,1883906
"Oro(incluido el oro platinado), en las demás formas en bruto, para uso no monetario.",2013,2078942
Fueloils (fuel).,2013,2376618
Ferroníquel.,2013,680124
"Bananas o plátanos frescos del tipo ""cavendish valery"".",2013,707601
Gasoils (gasóleo).,2013,843701
"Coques y semicoques de hulla, incluso aglomerados.",2013,433648
"Rosas frescas, cortadas para ramos o adornos.",2013,365189
Polipropileno,2013,290016
Policloruro de vinilo,2013,261309
Aceite de palma en bruto,2013,115675
Esmeraldas,2013,121730
Aceites crudos de petróleo o de mineral bituminoso.,2014,25760766
Hullas térmicas.,2014,6277833
"Los demás cafés sin tostar, sin descafeinar.",2014,2473248
"Oro(incluido el oro platinado), en las demás formas en bruto, para uso no monetario.",2014,1440824
Fueloils (fuel).,2014,2015562
Ferroníquel.,2014,640595
"Bananas o plátanos frescos del tipo ""cavendish valery"".",2014,767592
Gasoils (gasóleo).,2014,182037
"Coques y semicoques de hulla, incluso aglomerados.",2014,433648
"Rosas frescas, cortadas para ramos o adornos.",2014,371574
Polipropileno,2014,296426
Policloruro de vinilo,2014,244828
Aceite de palma en bruto,2014,168884
Esmeraldas,2014,134318
Aceites crudos de petróleo o de mineral bituminoso.,2015,12834389
Hullas térmicas.,2015,4139771
"Los demás cafés sin tostar, sin descafeinar.",2015,2526438
"Oro(incluido el oro platinado), en las demás formas en bruto, para uso no monetario.",2015,956814
Fueloils (fuel).,2015,799700
Ferroníquel.,2015,429753
"Bananas o plátanos frescos del tipo ""cavendish valery"".",2015,748280
Gasoils (gasóleo).,2015,55663
"Coques y semicoques de hulla, incluso aglomerados.",2015,302324
"Rosas frescas, cortadas para ramos o adornos.",2015,315498
Polipropileno,2015,255748
Policloruro de vinilo,2015,210107
Aceite de palma en bruto,2015,213534
Esmeraldas,2015,141927
Aceites crudos de petróleo o de mineral bituminoso.,2016,8060042
Hullas térmicas.,2016,4298032
"Los demás cafés sin tostar, sin descafeinar.",2016,2379235
"Oro(incluido el oro platinado), en las demás formas en bruto, para uso no monetario.",2016,1392340
Fueloils (fuel).,2016,711962
Ferroníquel.,2016,327765
"Bananas o plátanos frescos del tipo ""cavendish valery"".",2016,848689
Gasoils (gasóleo).,2016,593902
"Coques y semicoques de hulla, incluso aglomerados.",2016,245903
"Rosas frescas, cortadas para ramos o adornos.",2016,304267
Polipropileno,2016,212170
Policloruro de vinilo,2016,188733
Aceite de palma en bruto,2016,208586
Esmeraldas,2016,137853
