,Análisis de Principales Rubros de Exportación Colombia (2011 al 2016),,,,,,,
,,,,,,,,
,,2010,2011,2012,2013,2014,2015,2016
001,Aceites crudos de petróleo o de mineral bituminoso.," 13,393,973 "," 23,020,133 "," 26,495,874 "," 27,644,198 "," 25,760,766 "," 12,834,389 ","8,060,042"
002,Hullas térmicas.," 5,350,130 "," 7,566,983 "," 7,034,314 "," 6,079,881 "," 6,277,833 "," 4,139,771 ","4,298,032"
003,"Los demás cafés sin tostar, sin descafeinar."," 1,883,557 "," 2,608,365 "," 1,909,997 "," 1,883,906 "," 2,473,248 "," 2,526,438 ","2,379,235"
004,"Oro(incluido el oro platinado), en las demás formas en bruto, para uso no monetario."," 1,997,240 "," 2,591,714 "," 3,190,547 "," 2,078,942 "," 1,440,824 "," 956,814 ","1,392,340"
005,Fueloils (fuel).," 1,528,495 "," 2,406,184 "," 2,389,241 "," 2,376,618 "," 2,015,562 "," 799,700 ","711,962"
006,Ferroníquel.," 967,338 "," 826,621 "," 881,169 "," 680,124 "," 640,595 "," 429,753 ","327,765"
007,"Bananas o plátanos frescos del tipo ""cavendish valery""."," 694,415 "," 769,779 "," 763,830 "," 707,601 "," 767,592 "," 748,280 ","848,689"
008,Gasoils (gasóleo).," 522,892 "," 736,212 "," 911,160 "," 843,701 "," 182,037 "," 55,663 ","593,902"
009,"Coques y semicoques de hulla, incluso aglomerados."," 494,008 "," 540,006 "," 505,813 "," 433,648 "," 433,648 "," 302,324 ","245,903"
010,"Rosas frescas, cortadas para ramos o adornos."," 375,960 "," 381,228 "," 363,404 "," 365,189 "," 371,574 "," 315,498 ","304,267"
011,Polipropileno," 219,932 "," 266,774 "," 280,319 "," 290,016 "," 296,426 "," 255,748 ","212,170"
012,Policloruro de vinilo," 64,730 "," 249,035 "," 229,186 "," 261,309 "," 244,828 "," 210,107 ","188,733"
013,Aceite de palma en bruto," 47,365 "," 154,949 "," 144,854 "," 115,675 "," 168,884 "," 213,534 ","208,586"
014,Esmeraldas," 108,003 "," 128,435 "," 116,914 "," 121,730 "," 134,318 "," 141,927 ","137,853"
,,,,,,,,
,TOTAL EXPORTACIONES,"39,819,529","56,953,516","60,666,537","58,821,870","54,794,812","35,690,776","31,044,991"
,PORCENTAJE CUBIERTO,69.4%,74.2%,74.5%,74.6%,75.2%,67.0%,64.1%
